date,P_Kweek_-2_Kday_-4_ETE_60_ORD_61_EXT_72_E2Ekor_69_EXTkor_59_DIFF_26,a,b,c,d,e
Thu Apr 16 12:00:00 UTC 2026,1025.9148099999875,null,null,null,null,1196.5826932116663
Thu Apr 16 13:00:00 UTC 2026,1036.9148099999875,null,null,null,null,1199.257875693418
Thu Apr 16 14:00:00 UTC 2026,836.9148099999875,null,null,null,null,1201.9330581751701
Thu Apr 16 15:00:00 UTC 2026,988.9148099999875,null,null,null,null,1204.608240656922
Thu Apr 16 16:00:00 UTC 2026,1046.9148099999875,null,null,null,null,1207.2834231386735
Thu Apr 16 17:00:00 UTC 2026,1143.9148099999875,null,null,null,null,1209.9586056204255
Thu Apr 16 18:00:00 UTC 2026,1141.9148099999875,null,null,null,null,1212.6337881021773
Thu Apr 16 19:00:00 UTC 2026,1082.9148099999875,null,null,null,null,1215.308970583929
Thu Apr 16 20:00:00 UTC 2026,1074.9148099999875,null,null,null,null,1217.9841530656809
Thu Apr 16 21:00:00 UTC 2026,1073.9148099999875,null,null,null,null,1220.6593355474329
Thu Apr 16 22:00:00 UTC 2026,1055.9148099999875,null,null,null,null,1223.3345180291844
Thu Apr 16 23:00:00 UTC 2026,1044.9148099999875,null,null,null,null,1226.0097005109365
Fri Apr 17 00:00:00 UTC 2026,1040.9148099999875,null,null,null,null,1228.6848829926882
Fri Apr 17 01:00:00 UTC 2026,1003.9148099999875,null,null,null,null,1231.36006547444
Fri Apr 17 02:00:00 UTC 2026,1033.9148099999875,null,null,null,null,1234.0352479561918
Fri Apr 17 03:00:00 UTC 2026,980.9148099999875,null,null,null,null,1236.7104304379436
Fri Apr 17 04:00:00 UTC 2026,924.9148099999875,null,null,null,null,1239.3856129196956
Fri Apr 17 05:00:00 UTC 2026,1023.9148099999875,null,null,null,null,1242.0607954014474
Fri Apr 17 06:00:00 UTC 2026,1130.9148099999875,null,null,null,null,1244.7359778831992
Fri Apr 17 07:00:00 UTC 2026,985.9148099999875,null,null,null,null,1247.4111603649508
Fri Apr 17 08:00:00 UTC 2026,961.9148099999875,null,null,null,null,1250.0863428467028
Fri Apr 17 09:00:00 UTC 2026,1073.9148099999875,null,null,null,null,1252.7615253284546
Fri Apr 17 10:00:00 UTC 2026,884.9148099999875,null,null,null,null,1255.4367078102064
Fri Apr 17 11:00:00 UTC 2026,831.9148099999875,null,null,null,null,1258.1118902919584
Fri Apr 17 12:00:00 UTC 2026,1042.9148099999875,null,null,null,null,1260.7870727737102
Fri Apr 17 13:00:00 UTC 2026,836.9148099999875,null,null,null,null,1263.462255255462
Fri Apr 17 14:00:00 UTC 2026,797.9148099999875,null,null,null,null,1266.1374377372138
Fri Apr 17 15:00:00 UTC 2026,826.9148099999875,null,null,null,null,1268.8126202189655
Fri Apr 17 16:00:00 UTC 2026,959.9148099999875,null,null,null,null,1271.4878027007173
Fri Apr 17 17:00:00 UTC 2026,793.9148099999875,null,null,null,null,1274.1629851824694
Fri Apr 17 18:00:00 UTC 2026,938.9148099999875,null,null,null,null,1276.8381676642211
Fri Apr 17 19:00:00 UTC 2026,824.9148099999875,null,null,null,null,1279.513350145973
Fri Apr 17 20:00:00 UTC 2026,805.9148099999875,null,null,null,null,1282.1885326277247
Fri Apr 17 21:00:00 UTC 2026,790.9148099999875,null,null,null,null,1284.8637151094765
Fri Apr 17 22:00:00 UTC 2026,790.9148099999875,null,null,null,null,1287.5388975912283
Fri Apr 17 23:00:00 UTC 2026,790.9148099999875,null,null,null,null,1290.2140800729803
Sat Apr 18 00:00:00 UTC 2026,790.9148099999875,null,null,null,null,1292.8892625547319
Sat Apr 18 01:00:00 UTC 2026,790.9148099999875,null,null,null,null,1295.564445036484
Sat Apr 18 02:00:00 UTC 2026,790.9148099999875,null,null,null,null,1298.2396275182357
Sat Apr 18 03:00:00 UTC 2026,790.9148099999875,null,null,null,null,1300.9148099999875
Sat Apr 18 04:00:00 UTC 2026,790.9148099999875,null,null,null,null,1303.5899924817393
Sat Apr 18 05:00:00 UTC 2026,790.9148099999875,null,null,null,null,1306.265174963491
Sat Apr 18 06:00:00 UTC 2026,790.9148099999875,null,null,null,null,1308.9403574452429
Sat Apr 18 07:00:00 UTC 2026,790.9148099999875,null,null,null,null,1311.6155399269949
Sat Apr 18 08:00:00 UTC 2026,790.9148099999875,null,null,null,null,1314.2907224087467
