date,P_Kweek_64_Kday_-55_ETE_67_ORD_66_EXT_80_E2Ekor_81_EXTkor_67_DIFF_26,a,b,c,d,e
Mon Apr 20 10:00:00 UTC 2026,118.50252999999793,null,null,null,null,null
Mon Apr 20 11:00:00 UTC 2026,22.502529999997932,null,null,null,null,null
Mon Apr 20 12:00:00 UTC 2026,279.50252999999793,null,null,null,null,null
Mon Apr 20 13:00:00 UTC 2026,352.50252999999793,null,null,null,null,null
Mon Apr 20 14:00:00 UTC 2026,127.50252999999793,null,null,null,null,null
Mon Apr 20 15:00:00 UTC 2026,205.50252999999793,null,null,null,null,null
Mon Apr 20 16:00:00 UTC 2026,113.50252999999793,null,null,null,null,null
Mon Apr 20 17:00:00 UTC 2026,328.50252999999793,null,null,null,null,null
Mon Apr 20 18:00:00 UTC 2026,340.50252999999793,null,null,null,null,null
Mon Apr 20 19:00:00 UTC 2026,440.50252999999793,null,null,null,null,null
Mon Apr 20 20:00:00 UTC 2026,502.50252999999793,null,null,null,null,null
Mon Apr 20 21:00:00 UTC 2026,656.5025299999979,null,null,null,null,null
Mon Apr 20 22:00:00 UTC 2026,628.5025299999979,null,null,null,null,null
Mon Apr 20 23:00:00 UTC 2026,611.5025299999979,null,null,null,null,null
Tue Apr 21 00:00:00 UTC 2026,682.5025299999979,null,null,null,null,null
Tue Apr 21 01:00:00 UTC 2026,544.5025299999979,null,null,null,null,null
Tue Apr 21 02:00:00 UTC 2026,529.5025299999979,null,null,null,null,null
Tue Apr 21 03:00:00 UTC 2026,566.5025299999979,null,null,null,null,null
Tue Apr 21 04:00:00 UTC 2026,533.5025299999979,null,null,null,null,null
Tue Apr 21 05:00:00 UTC 2026,472.50252999999793,null,null,null,null,null
Tue Apr 21 06:00:00 UTC 2026,534.5025299999979,null,null,null,null,null
Tue Apr 21 07:00:00 UTC 2026,585.5025299999979,null,null,null,null,null
Tue Apr 21 08:00:00 UTC 2026,676.5025299999979,null,null,null,null,null
Tue Apr 21 09:00:00 UTC 2026,562.5025299999979,null,null,null,null,null
Tue Apr 21 10:00:00 UTC 2026,523.5025299999979,null,null,null,null,null
Tue Apr 21 11:00:00 UTC 2026,442.50252999999793,null,null,null,null,null
Tue Apr 21 12:00:00 UTC 2026,416.50252999999793,null,null,null,null,null
Tue Apr 21 13:00:00 UTC 2026,437.50252999999793,null,null,null,null,null
Tue Apr 21 14:00:00 UTC 2026,383.50252999999793,null,null,null,null,null
Tue Apr 21 15:00:00 UTC 2026,333.50252999999793,null,null,null,null,null
Tue Apr 21 16:00:00 UTC 2026,479.50252999999793,null,null,null,null,null
Tue Apr 21 17:00:00 UTC 2026,488.50252999999793,null,null,null,null,null
Tue Apr 21 18:00:00 UTC 2026,428.50252999999793,null,null,null,null,null
Tue Apr 21 19:00:00 UTC 2026,468.50252999999793,null,null,null,null,null
Tue Apr 21 20:00:00 UTC 2026,430.50252999999793,null,null,null,null,null
Tue Apr 21 21:00:00 UTC 2026,346.50252999999793,null,null,null,null,null
Tue Apr 21 22:00:00 UTC 2026,289.50252999999793,null,null,null,null,null
Tue Apr 21 23:00:00 UTC 2026,157.50252999999793,null,null,null,null,null
Wed Apr 22 00:00:00 UTC 2026,274.50252999999793,null,null,null,null,null
Wed Apr 22 01:00:00 UTC 2026,181.50252999999793,null,null,null,null,null
Wed Apr 22 02:00:00 UTC 2026,122.50252999999793,null,null,null,null,null
Wed Apr 22 03:00:00 UTC 2026,17.502529999997932,null,null,null,null,null
Wed Apr 22 04:00:00 UTC 2026,-104.49747000000207,null,null,null,null,null
Wed Apr 22 05:00:00 UTC 2026,-45.49747000000207,null,null,null,null,null
Wed Apr 22 06:00:00 UTC 2026,36.50252999999793,null,null,null,null,null
Wed Apr 22 07:00:00 UTC 2026,144.50252999999793,null,null,null,null,null
Wed Apr 22 08:00:00 UTC 2026,-2.4974700000020675,null,null,null,null,null
Wed Apr 22 09:00:00 UTC 2026,-17.497470000002068,null,null,null,null,null
Wed Apr 22 10:00:00 UTC 2026,23.502529999997932,null,null,null,null,null
Wed Apr 22 11:00:00 UTC 2026,-73.49747000000207,null,null,null,null,null
Wed Apr 22 12:00:00 UTC 2026,219.50252999999793,null,null,null,null,null
Wed Apr 22 13:00:00 UTC 2026,196.50252999999793,null,null,null,null,null
Wed Apr 22 14:00:00 UTC 2026,151.50252999999793,null,null,null,null,null
